Subject,Threshold,Metric,Network,ExpMin,RefMin,Value
PFM3T7T01,0.0,DC_cort,Aud,10,70,0.514691270404542
PFM3T7T01,0.0,DC_cort,Aud,15,70,0.60204213519452
PFM3T7T01,0.0,DC_cort,Aud,20,70,0.615003099814011
PFM3T7T01,0.0,DC_cort,Aud,25,70,0.586749967460627
PFM3T7T01,0.0,DC_cort,Aud,30,70,0.615089514066496
PFM3T7T01,0.0,DC_cort,Aud,35,70,0.595668332692554
PFM3T7T01,0.0,DC_cort,Aud,40,70,0.62302371541502
PFM3T7T01,0.0,DC_cort,Aud,45,70,0.635937885136801
PFM3T7T01,0.0,DC_cort,Aud,5,70,0.346822688119616
PFM3T7T01,0.0,DC_cort,Aud,50,70,0.656404088995791
PFM3T7T01,0.0,DC_cort,Aud,55,70,0.643173977328733
PFM3T7T01,0.0,DC_cort,Aud,60,70,0.650700073691968
PFM3T7T01,0.0,DC_cort,Aud,65,70,0.656661786237189
PFM3T7T01,0.0,DC_cort,Aud,70,70,0.664344902125615
PFM3T7T01,0.0,DC_cort,AMN,10,70,0.532323132933189
PFM3T7T01,0.0,DC_cort,AMN,15,70,0.603427795689801
PFM3T7T01,0.0,DC_cort,AMN,20,70,0.649296122499383
PFM3T7T01,0.0,DC_cort,AMN,25,70,0.650753614272532
PFM3T7T01,0.0,DC_cort,AMN,30,70,0.656135331799241
PFM3T7T01,0.0,DC_cort,AMN,35,70,0.659011916583913
PFM3T7T01,0.0,DC_cort,AMN,40,70,0.660674157303371
PFM3T7T01,0.0,DC_cort,AMN,45,70,0.650823788816072
PFM3T7T01,0.0,DC_cort,AMN,5,70,0.512266928361138
PFM3T7T01,0.0,DC_cort,AMN,50,70,0.656112249332588
PFM3T7T01,0.0,DC_cort,AMN,55,70,0.659552025811255
PFM3T7T01,0.0,DC_cort,AMN,60,70,0.683180388885324
PFM3T7T01,0.0,DC_cort,AMN,65,70,0.710236113930045
PFM3T7T01,0.0,DC_cort,AMN,70,70,0.730823264962068
PFM3T7T01,0.0,DC_cort,DAN,10,70,0.611866200048832
PFM3T7T01,0.0,DC_cort,DAN,15,70,0.699843084510199
PFM3T7T01,0.0,DC_cort,DAN,20,70,0.649821733064641
PFM3T7T01,0.0,DC_cort,DAN,25,70,0.645838264299803
PFM3T7T01,0.0,DC_cort,DAN,30,70,0.652385123835311
PFM3T7T01,0.0,DC_cort,DAN,35,70,0.665819769749901
PFM3T7T01,0.0,DC_cort,DAN,40,70,0.697175319551838
PFM3T7T01,0.0,DC_cort,DAN,45,70,0.692803091289647
PFM3T7T01,0.0,DC_cort,DAN,5,70,0.463606025074411
PFM3T7T01,0.0,DC_cort,DAN,50,70,0.689632968448165
PFM3T7T01,0.0,DC_cort,DAN,55,70,0.706995230524642
PFM3T7T01,0.0,DC_cort,DAN,60,70,0.713447510307644
PFM3T7T01,0.0,DC_cort,DAN,65,70,0.710007304601899
PFM3T7T01,0.0,DC_cort,DAN,70,70,0.688599348534202
PFM3T7T01,0.0,DC_cort,DMN,10,70,0.79241358213521
PFM3T7T01,0.0,DC_cort,DMN,15,70,0.823782322953136
PFM3T7T01,0.0,DC_cort,DMN,20,70,0.818688545124319
PFM3T7T01,0.0,DC_cort,DMN,25,70,0.840132164188588
PFM3T7T01,0.0,DC_cort,DMN,30,70,0.854323780794369
PFM3T7T01,0.0,DC_cort,DMN,35,70,0.851724353758528
PFM3T7T01,0.0,DC_cort,DMN,40,70,0.858040990821074
PFM3T7T01,0.0,DC_cort,DMN,45,70,0.857451953671885
PFM3T7T01,0.0,DC_cort,DMN,5,70,0.6942569893954
PFM3T7T01,0.0,DC_cort,DMN,50,70,0.852486152670784
PFM3T7T01,0.0,DC_cort,DMN,55,70,0.859135461171149
PFM3T7T01,0.0,DC_cort,DMN,60,70,0.863644959969741
PFM3T7T01,0.0,DC_cort,DMN,65,70,0.868927125506073
PFM3T7T01,0.0,DC_cort,DMN,70,70,0.862543397196863
PFM3T7T01,0.0,DC_cort,FP,10,70,0.745208346961471
PFM3T7T01,0.0,DC_cort,FP,15,70,0.782800137598899
PFM3T7T01,0.0,DC_cort,FP,20,70,0.786257539994755
PFM3T7T01,0.0,DC_cort,FP,25,70,0.799195745232845
PFM3T7T01,0.0,DC_cort,FP,30,70,0.7997002997003
PFM3T7T01,0.0,DC_cort,FP,35,70,0.79635935855365
PFM3T7T01,0.0,DC_cort,FP,40,70,0.813876930868574
PFM3T7T01,0.0,DC_cort,FP,45,70,0.814800782976574
PFM3T7T01,0.0,DC_cort,FP,5,70,0.723159741123813
PFM3T7T01,0.0,DC_cort,FP,50,70,0.810868075029601
PFM3T7T01,0.0,DC_cort,FP,55,70,0.812519880399517
PFM3T7T01,0.0,DC_cort,FP,60,70,0.820226162940118
PFM3T7T01,0.0,DC_cort,FP,65,70,0.834367602840509
PFM3T7T01,0.0,DC_cort,FP,70,70,0.830792301924519
PFM3T7T01,0.0,DC_cort,MTL,10,70,0.523713605566746
PFM3T7T01,0.0,DC_cort,MTL,15,70,0.593155893536122
PFM3T7T01,0.0,DC_cort,MTL,20,70,0.637430939226519
PFM3T7T01,0.0,DC_cort,MTL,25,70,0.723851340755841
PFM3T7T01,0.0,DC_cort,MTL,30,70,0.698732630936021
PFM3T7T01,0.0,DC_cort,MTL,35,70,0.685336205570088
PFM3T7T01,0.0,DC_cort,MTL,40,70,0.666666666666667
PFM3T7T01,0.0,DC_cort,MTL,45,70,0.667655786350148
PFM3T7T01,0.0,DC_cort,MTL,5,70,0.410328827920113
PFM3T7T01,0.0,DC_cort,MTL,50,70,0.675994752951465
PFM3T7T01,0.0,DC_cort,MTL,55,70,0.673200702165009
PFM3T7T01,0.0,DC_cort,MTL,60,70,0.684976247030879
PFM3T7T01,0.0,DC_cort,MTL,65,70,0.703214784904488
PFM3T7T01,0.0,DC_cort,MTL,70,70,0.725471990095946
PFM3T7T01,0.0,DC_cort,PMN,10,70,0.574126534466478
PFM3T7T01,0.0,DC_cort,PMN,15,70,0.627492130115425
PFM3T7T01,0.0,DC_cort,PMN,20,70,0.647455867082035
PFM3T7T01,0.0,DC_cort,PMN,25,70,0.675792141951838
PFM3T7T01,0.0,DC_cort,PMN,30,70,0.683360258481422
PFM3T7T01,0.0,DC_cort,PMN,35,70,0.694288250961823
PFM3T7T01,0.0,DC_cort,PMN,40,70,0.7259767687434
PFM3T7T01,0.0,DC_cort,PMN,45,70,0.740048089767566
PFM3T7T01,0.0,DC_cort,PMN,5,70,0.455016991593633
