Subject,Threshold,Metric,Network,SubjIndex_Exp,SubjIndex_Ref,SubjectID_Exp,SubjectID_Ref,Value
allsubs,0.99,DC_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.803051709522464
allsubs,0.99,DC_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.923489349369657
allsubs,0.99,DC_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.824328068717096
allsubs,0.99,DC_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.616499954115812
allsubs,0.99,DC_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.573167358229599
allsubs,0.99,DC_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.67335962710649
allsubs,0.99,DC_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.784089995982322
allsubs,0.99,DC_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.621567314132619
allsubs,0.99,DC_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.52909000497265
allsubs,0.99,DC_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.57679319194921
allsubs,0.99,DC_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.366533864541833
allsubs,0.99,DC_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.625175667536639
allsubs,0.99,DC_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.756076637117529
allsubs,0.99,DC_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.723431914202145
allsubs,0.99,DC_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.689911403258074
allsubs,0.99,cDC_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.803051709522464
allsubs,0.99,cDC_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.923489349369657
allsubs,0.99,cDC_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.824328068717096
allsubs,0.99,cDC_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.616499954115812
allsubs,0.99,cDC_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.573167358229599
allsubs,0.99,cDC_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.67335962710649
allsubs,0.99,cDC_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.784089995982322
allsubs,0.99,cDC_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.621567314132619
allsubs,0.99,cDC_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.52909000497265
allsubs,0.99,cDC_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.57679319194921
allsubs,0.99,cDC_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.366533864541833
allsubs,0.99,cDC_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.625175667536639
allsubs,0.99,cDC_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.756076637117529
allsubs,0.99,cDC_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.723431914202145
allsubs,0.99,cDC_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.689911403258074
allsubs,0.99,TP_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,5684.0
allsubs,0.99,TP_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,6373.0
allsubs,0.99,TP_cort,FP,1,1,PFM3T7T01,PFM3T7T01,5950.0
allsubs,0.99,TP_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,3359.0
allsubs,0.99,TP_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,1036.0
allsubs,0.99,TP_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,939.0
allsubs,0.99,TP_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,4879.0
allsubs,0.99,TP_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,1392.0
allsubs,0.99,TP_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,1064.0
allsubs,0.99,TP_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,2135.0
allsubs,0.99,TP_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,138.0
allsubs,0.99,TP_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,1557.0
allsubs,0.99,TP_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,1322.0
allsubs,0.99,TP_cort,PON,1,1,PFM3T7T01,PFM3T7T01,1113.0
allsubs,0.99,TP_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,1207.0
allsubs,0.99,TN_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,50940.0
allsubs,0.99,TN_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,51983.0
allsubs,0.99,TN_cort,FP,1,1,PFM3T7T01,PFM3T7T01,50926.0
allsubs,0.99,TN_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,51874.0
allsubs,0.99,TN_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,56833.0
allsubs,0.99,TN_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,57562.0
allsubs,0.99,TN_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,51846.0
allsubs,0.99,TN_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,56325.0
allsubs,0.99,TN_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,56454.0
allsubs,0.99,TN_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,54144.0
allsubs,0.99,TN_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,58797.0
allsubs,0.99,TN_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,55988.0
allsubs,0.99,TN_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,57237.0
allsubs,0.99,TN_cort,PON,1,1,PFM3T7T01,PFM3T7T01,57448.0
allsubs,0.99,TN_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,57120.0
allsubs,0.99,FP_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,146.0
allsubs,0.99,FP_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,217.0
allsubs,0.99,FP_cort,FP,1,1,PFM3T7T01,PFM3T7T01,1091.0
allsubs,0.99,FP_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,228.0
allsubs,0.99,FP_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,61.0
allsubs,0.99,FP_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,229.0
allsubs,0.99,FP_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,2029.0
allsubs,0.99,FP_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,127.0
allsubs,0.99,FP_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,735.0
allsubs,0.99,FP_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,254.0
allsubs,0.99,FP_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,107.0
allsubs,0.99,FP_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,146.0
allsubs,0.99,FP_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,301.0
allsubs,0.99,FP_cort,PON,1,1,PFM3T7T01,PFM3T7T01,222.0
allsubs,0.99,FP_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,398.0
allsubs,0.99,FN_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,2642.0
allsubs,0.99,FN_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,839.0
allsubs,0.99,FN_cort,FP,1,1,PFM3T7T01,PFM3T7T01,1445.0
allsubs,0.99,FN_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,3951.0
allsubs,0.99,FN_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,1482.0
allsubs,0.99,FN_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,682.0
allsubs,0.99,FN_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,658.0
allsubs,0.99,FN_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,1568.0
allsubs,0.99,FN_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,1159.0
allsubs,0.99,FN_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,2879.0
allsubs,0.99,FN_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,370.0
allsubs,0.99,FN_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,1721.0
allsubs,0.99,FN_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,552.0
allsubs,0.99,FN_cort,PON,1,1,PFM3T7T01,PFM3T7T01,629.0
allsubs,0.99,FN_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,687.0
allsubs,0.99,TPR_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.68268075906798
allsubs,0.99,TPR_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.883666112035496
allsubs,0.99,TPR_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.804597701149425
allsubs,0.99,TPR_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.459507523939808
allsubs,0.99,TPR_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.41143764892772
allsubs,0.99,TPR_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.579272054287477
allsubs,0.99,TPR_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.881163084702908
allsubs,0.99,TPR_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.47027027027027
allsubs,0.99,TPR_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.478632478632479
allsubs,0.99,TPR_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.425807738332669
allsubs,0.99,TPR_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.271653543307087
allsubs,0.99,TPR_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.474984746796827
allsubs,0.99,TPR_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.705442902881537
allsubs,0.99,TPR_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.638920780711825
allsubs,0.99,TPR_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.63727560718057
allsubs,0.99,TNR_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.997142074149473
allsubs,0.99,TNR_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.995842911877395
allsubs,0.99,TNR_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.979026087625199
allsubs,0.99,TNR_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.995623968369736
allsubs,0.99,TNR_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.99892783070271
allsubs,0.99,TNR_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.996037445276946
allsubs,0.99,TNR_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.962338747099768
allsubs,0.99,TNR_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.997750301140792
allsubs,0.99,TNR_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.987147878088444
allsubs,0.99,TNR_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.995330710687893
allsubs,0.99,TNR_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.99818348499253
allsubs,0.99,TNR_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.997399080771012
allsubs,0.99,TNR_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.994768674615037
allsubs,0.99,TNR_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.996150511531125
allsubs,0.99,TNR_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.993080426996766
allsubs,0.99,FPR_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.0028579258505265
allsubs,0.99,FPR_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.0041570881226053
allsubs,0.99,FPR_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.0209739123748005
allsubs,0.99,FPR_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.0043760316302637
allsubs,0.99,FPR_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.0010721692972897
allsubs,0.99,FPR_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.0039625547230537
