Subject,Threshold,Metric,Network,SubjIndex_Exp,SubjIndex_Ref,SubjectID_Exp,SubjectID_Ref,Value
allsubs,0,DC_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.694651226909291
allsubs,0,DC_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.886362050924311
allsubs,0,DC_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.725511563143238
allsubs,0,DC_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.453297169011697
allsubs,0,DC_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.621094569092053
allsubs,0,DC_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.528864059590317
allsubs,0,DC_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.524018357980622
allsubs,0,DC_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.427571909821197
allsubs,0,DC_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.424231720240198
allsubs,0,DC_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.346974803402343
allsubs,0,DC_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.314516129032258
allsubs,0,DC_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.443866319791875
allsubs,0,DC_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.430803161183606
allsubs,0,DC_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.576271186440678
allsubs,0,DC_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.566815527310203
allsubs,0,cDC_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.694651226909291
allsubs,0,cDC_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.886362050924311
allsubs,0,cDC_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.725511563143238
allsubs,0,cDC_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.453297169011697
allsubs,0,cDC_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.621094569092053
allsubs,0,cDC_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.528864059590317
allsubs,0,cDC_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.524018357980622
allsubs,0,cDC_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.427571909821197
allsubs,0,cDC_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.424231720240198
allsubs,0,cDC_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.346974803402343
allsubs,0,cDC_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.314516129032258
allsubs,0,cDC_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.443866319791875
allsubs,0,cDC_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.430803161183606
allsubs,0,cDC_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.576271186440678
allsubs,0,cDC_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.566815527310203
allsubs,0,TP_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,5039.0
allsubs,0,TP_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,6353.0
allsubs,0,TP_cort,FP,1,1,PFM3T7T01,PFM3T7T01,5992.0
allsubs,0,TP_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,2674.0
allsubs,0,TP_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,1481.0
allsubs,0,TP_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,994.0
allsubs,0,TP_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,5138.0
allsubs,0,TP_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,825.0
allsubs,0,TP_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,1201.0
allsubs,0,TP_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,1081.0
allsubs,0,TP_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,195.0
allsubs,0,TP_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,1109.0
allsubs,0,TP_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,1172.0
allsubs,0,TP_cort,PON,1,1,PFM3T7T01,PFM3T7T01,918.0
allsubs,0,TP_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,825.0
allsubs,0,TN_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,49943.0
allsubs,0,TN_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,51430.0
allsubs,0,TN_cort,FP,1,1,PFM3T7T01,PFM3T7T01,48886.0
allsubs,0,TN_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,50288.0
allsubs,0,TN_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,56124.0
allsubs,0,TN_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,56647.0
allsubs,0,TN_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,44940.0
allsubs,0,TN_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,56378.0
allsubs,0,TN_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,54951.0
allsubs,0,TN_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,54262.0
allsubs,0,TN_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,58367.0
allsubs,0,TN_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,55524.0
allsubs,0,TN_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,55143.0
allsubs,0,TN_cort,PON,1,1,PFM3T7T01,PFM3T7T01,57144.0
allsubs,0,TN_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,57326.0
allsubs,0,FP_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,1143.0
allsubs,0,FP_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,770.0
allsubs,0,FP_cort,FP,1,1,PFM3T7T01,PFM3T7T01,3131.0
allsubs,0,FP_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,1814.0
allsubs,0,FP_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,770.0
