ExpDuration_min,SubjIndex_Exp,SubjectID_Exp,SubjIndex_Ref,SubjectID_Ref,MIn_cort
5,1,PFM3T7T01,1,PFM3T7T01,0.843646927146356
5,1,PFM3T7T01,2,PFM3T7T02,0.655252894082199
5,1,PFM3T7T01,3,PFM3T7T03,0.569154947187501
5,1,PFM3T7T01,4,PFM3T7T04,0.69140506775593
5,2,PFM3T7T02,1,PFM3T7T01,0.630637938888436
5,2,PFM3T7T02,2,PFM3T7T02,0.853973009458257
5,2,PFM3T7T02,3,PFM3T7T03,0.629871122984533
5,2,PFM3T7T02,4,PFM3T7T04,0.667393299125445
5,3,PFM3T7T03,1,PFM3T7T01,0.656071076610964
5,3,PFM3T7T03,2,PFM3T7T02,0.650523372903032
5,3,PFM3T7T03,3,PFM3T7T03,0.774848610045326
5,3,PFM3T7T03,4,PFM3T7T04,0.674427410208848
5,4,PFM3T7T04,1,PFM3T7T01,0.678396956409618
5,4,PFM3T7T04,2,PFM3T7T02,0.67057899025246
5,4,PFM3T7T04,3,PFM3T7T03,0.618356029321293
5,4,PFM3T7T04,4,PFM3T7T04,0.867748490287465
70,1,PFM3T7T01,1,PFM3T7T01,0.870511778740745
70,1,PFM3T7T01,2,PFM3T7T02,0.5789121740968
70,1,PFM3T7T01,3,PFM3T7T03,0.563557343116971
70,1,PFM3T7T01,4,PFM3T7T04,0.593227492251269
70,2,PFM3T7T02,1,PFM3T7T01,0.580911625641327
70,2,PFM3T7T02,2,PFM3T7T02,0.865953897095943
70,2,PFM3T7T02,3,PFM3T7T03,0.596474001418919
70,2,PFM3T7T02,4,PFM3T7T04,0.591251346202259
70,3,PFM3T7T03,1,PFM3T7T01,0.562079667393919
70,3,PFM3T7T03,2,PFM3T7T02,0.604934192081487
70,3,PFM3T7T03,3,PFM3T7T03,0.880845706901456
70,3,PFM3T7T03,4,PFM3T7T04,0.595339181919943
70,4,PFM3T7T04,1,PFM3T7T01,0.59805886998639
70,4,PFM3T7T04,2,PFM3T7T02,0.629390937318938
70,4,PFM3T7T04,3,PFM3T7T03,0.620983158474563
70,4,PFM3T7T04,4,PFM3T7T04,0.902952156687053
