i,subject,within,between_mean,between_n,condition
1,PFM3T7T01,0.365096283663753,0.368649186385277,3,TM_5min
2,PFM3T7T02,0.371996627792609,0.40974661608355606,3,TM_5min
3,PFM3T7T03,0.643835616438356,0.405074281304264,3,TM_5min
4,PFM3T7T04,0.543338213762811,0.36122498779892664,3,TM_5min
1,PFM3T7T01,0.600437435248072,0.50911323433483,3,TM_70min
2,PFM3T7T02,0.603664861127118,0.5693211939610464,3,TM_70min
3,PFM3T7T03,0.808300395256917,0.47939540330844665,3,TM_70min
4,PFM3T7T04,0.827346743295019,0.5345625798212007,3,TM_70min
1,PFM3T7T01,0.565049320181285,0.5020883320003553,3,PCM_5min_thr0.99
2,PFM3T7T02,0.528672086720867,0.5416079494128273,3,PCM_5min_thr0.99
3,PFM3T7T03,0.820703868103995,0.5103572183470724,3,PCM_5min_thr0.99
4,PFM3T7T04,0.716028708133971,0.48381180223285464,3,PCM_5min_thr0.99
1,PFM3T7T01,0.706282570932252,0.5602200347423273,3,PCM_70min_thr0.99
2,PFM3T7T02,0.672338162966902,0.6038814302804733,3,PCM_70min_thr0.99
3,PFM3T7T03,0.886735232067511,0.5264592123769337,3,PCM_70min_thr0.99
4,PFM3T7T04,0.902567094515753,0.586056009334889,3,PCM_70min_thr0.99
