Metric,Network,ExpMin,Threshold,Mean,SD,N
PPV_cort,DMN,5,0.0,0.768491874973999,0.039978747679692984,4
PPV_cort,DMN,5,0.99,0.9074000185868445,0.02746333401574453,4
PPV_cort,DMN,25,0.0,0.8157271947947937,0.08346255021360689,4
PPV_cort,DMN,25,0.99,0.9093530924112477,0.06413511146152219,4
PPV_cort,DMN,70,0.0,0.8832332176073645,0.053210286570646366,4
PPV_cort,DMN,70,0.99,0.9392494118437728,0.04496742552266953,4
TPR_cort,DMN,5,0.0,0.7616105211524893,0.12184657517273889,4
TPR_cort,DMN,5,0.99,0.5166881676191333,0.1767386889565553,4
TPR_cort,DMN,25,0.0,0.8604018904800957,0.09584226282089206,4
TPR_cort,DMN,25,0.99,0.741366145979568,0.13149550222965453,4
TPR_cort,DMN,70,0.0,0.8827946858797845,0.07055039360534067,4
TPR_cort,DMN,70,0.99,0.7955388881651935,0.09335216593500248,4
