Metric,Network,ExpMin,Threshold,Mean,SD,N
PPV_cort,FP,5,0.0,0.6878493152462305,0.13373920614593154,4
PPV_cort,FP,5,0.99,0.8447517565917757,0.1129504422221409,4
PPV_cort,FP,25,0.0,0.7546160638190073,0.19573091123169667,4
PPV_cort,FP,25,0.99,0.8442957182197988,0.16808682105396267,4
PPV_cort,FP,70,0.0,0.799001678439711,0.14685704106769515,4
PPV_cort,FP,70,0.99,0.8637089893616878,0.1199034280888611,4
TPR_cort,FP,5,0.0,0.7923341723569645,0.0626737082099369,4
TPR_cort,FP,5,0.99,0.5754524511449395,0.10162675008089853,4
TPR_cort,FP,25,0.0,0.8103469660142615,0.11950808376312543,4
TPR_cort,FP,25,0.99,0.6912942990171282,0.1708575827024113,4
TPR_cort,FP,70,0.0,0.8786972489278002,0.0560871328333063,4
TPR_cort,FP,70,0.99,0.7948840320479282,0.08457117414872932,4
