Metric,Network,ExpMin,Threshold,Mean,SD,N
PPV_cort,SCAN,5,0.0,0.7281316329402875,0.10221682406377801,4
PPV_cort,SCAN,5,0.99,0.8477093231916493,0.023570346035222612,4
PPV_cort,SCAN,25,0.0,0.7074104547822347,0.04678085369638747,4
PPV_cort,SCAN,25,0.99,0.8408725665642413,0.03163259445606476,4
PPV_cort,SCAN,70,0.0,0.7149660418398405,0.10333628395863496,4
PPV_cort,SCAN,70,0.99,0.8411928278849234,0.07563751535135674,4
TPR_cort,SCAN,5,0.0,0.438663074776664,0.21135247687153524,4
TPR_cort,SCAN,5,0.99,0.17822003057522456,0.1339723359732878,4
TPR_cort,SCAN,25,0.0,0.6569939568942788,0.20063169500973502,4
TPR_cort,SCAN,25,0.99,0.4959257064843245,0.18367359581704745,4
TPR_cort,SCAN,70,0.0,0.6934042288654675,0.19022225455065017,4
TPR_cort,SCAN,70,0.99,0.5732984349892243,0.1728417275312957,4
