Metric,Network,ExpMin,Threshold,Mean,SD,N
PPV_cort,Sal,5,0.0,0.7493969888559863,0.2139706133034599,4
PPV_cort,Sal,5,0.99,0.8753710784430144,0.05989256739026341,4
PPV_cort,Sal,25,0.0,0.7472375747276307,0.1803311996095204,4
PPV_cort,Sal,25,0.99,0.8865714494376553,0.10897382781872544,4
PPV_cort,Sal,70,0.0,0.7719643636321363,0.19598597344863505,4
PPV_cort,Sal,70,0.99,0.880852150051948,0.13188285963688218,4
TPR_cort,Sal,5,0.0,0.373306009956819,0.17103099747283126,4
TPR_cort,Sal,5,0.99,0.1780472511853824,0.1350859856086045,4
TPR_cort,Sal,25,0.0,0.5883565262586146,0.1603348560523473,4
TPR_cort,Sal,25,0.99,0.35686383026233426,0.16021172437759357,4
TPR_cort,Sal,70,0.0,0.6553612057314897,0.19313121267780045,4
TPR_cort,Sal,70,0.99,0.49969374188610927,0.22010236841334666,4
