Metric,Network,ExpMin,Threshold,Mean,SD,N
FNR_cort,AMN,5,0.0,0.10497871793816835,0.07928035165794703,4
FNR_cort,AMN,5,0.99,0.26077629662144675,0.12112851747989073,4
FNR_cort,AMN,25,0.0,0.11234682165516241,0.09041588455104795,4
FNR_cort,AMN,25,0.99,0.20272440828484678,0.12913735686219036,4
FNR_cort,AMN,70,0.0,0.10862374708683672,0.07307015253608608,4
FNR_cort,AMN,70,0.99,0.17471536442518137,0.09360649165985248,4
FPR_cort,AMN,5,0.0,0.13817411451001932,0.046544386433351445,4
FPR_cort,AMN,5,0.99,0.05263991512626835,0.024822597620693325,4
FPR_cort,AMN,25,0.0,0.07552133776484721,0.03226163258558602,4
FPR_cort,AMN,25,0.99,0.037252762180288376,0.022094065768365923,4
FPR_cort,AMN,70,0.0,0.0481925662014022,0.020132639198656946,4
FPR_cort,AMN,70,0.99,0.028691359425493876,0.01628462597129736,4
PPV_cort,AMN,5,0.0,0.47252812490394025,0.13774071774016572,4
PPV_cort,AMN,5,0.99,0.6570484473787163,0.13714769999730872,4
PPV_cort,AMN,25,0.0,0.6154554148948368,0.15020878162828596,4
PPV_cort,AMN,25,0.99,0.7431614127174158,0.13932784558211622,4
PPV_cort,AMN,70,0.0,0.7081975370013053,0.13022642424553077,4
PPV_cort,AMN,70,0.99,0.7892880937777033,0.12314042992678031,4
TNR_cort,AMN,5,0.0,0.8618258854899807,0.046544386433351605,4
TNR_cort,AMN,5,0.99,0.9473600848737318,0.024822597620693408,4
TNR_cort,AMN,25,0.0,0.9244786622351527,0.03226163258558597,4
TNR_cort,AMN,25,0.99,0.9627472378197117,0.0220940657683658,4
TNR_cort,AMN,70,0.0,0.9518074337985978,0.020132639198656977,4
TNR_cort,AMN,70,0.99,0.9713086405745059,0.01628462597129762,4
TPR_cort,AMN,5,0.0,0.8950212820618317,0.07928035165794711,4
TPR_cort,AMN,5,0.99,0.7392237033785533,0.12112851747989076,4
TPR_cort,AMN,25,0.0,0.8876531783448375,0.09041588455104783,4
TPR_cort,AMN,25,0.99,0.7972755917151533,0.12913735686219036,4
TPR_cort,AMN,70,0.0,0.8913762529131632,0.07307015253608608,4
TPR_cort,AMN,70,0.99,0.8252846355748185,0.09360649165985231,4
